SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
 32793/M_1 0 0 0
 32793/M_2 0 0 0
 32793/M_3 0 0 0
. 11535/M_1 0 0 0
 11535/M_2 0 0 0
 11535/M_3 0 0 0
 11538/M_1 85.2063 1410.7 1166.4
 11538/M_2 119.747 1392.03 1166.88
 11538/M_3 140.736 1375.43 1155.46
 11541/M_1 106.419 1415.06 1177.32
 11541/M_2 133.921 1386.91 1167.58
 11541/M_3 145.153 1367.77 1149.97
 11544/M_1 128.284 1413.52 1182.98
 11544/M_2 143.589 1381.29 1163.37
 11544/M_3 144.491 1364.16 1142.52
 11547/M_1 144.832 1409.76 1183.05
 11547/M_2 147.733 1378.19 1157.81
 11547/M_3 138.99 1365.18 1135.67
 11550/M_1 156.936 1405.88 1179.56
Frame Number: 11550 Latency: 0s  Markers: 3
 11550/M_2 147.169 1379.12 1151.38
 11550/M_3 131.699 1370.1 1129.75
 11553/M_1 162.144 1403.27 1176.28
 11553/M_2 146.109 1382.29 1145.87
 11553/M_3 127.152 1377.67 1128.24
 11556/M_1 163.234 1403.15 1176.38
 11556/M_2 145.282 1385.98 1145.57
 11556/M_3 124.375 1383.63 1128.24
 11559/M_1 163.262 1404.06 1176.09
 11559/M_2 143.224 1388.71 1146.79
 11559/M_3 121.351 1388.73 1128.34
 11562/M_1 161.845 1405.2 1176.02
 11562/M_2 140.93 1391.74 1145.59
 11562/M_3 118.021 1392.43 1128.65
 11565/M_1 159.869 1407.45 1176.74
 11565/M_2 138.448 1394.52 1145.14
 11565/M_3 115.863 1395.13 1129.29
 11568/M_1 157.928 1409.31 1177.5
 11568/M_2 137.009 1395.97 1146.46
 11568/M_3 114.271 1396.72 1129.6
 11571/M_1 156.322 1410.66 1177.12
 11571/M_2 135.706 1397.3 1146.78
 11571/M_3 112.75 1398.24 1129.37
 11574/M_1 154.951 1411.87 1176.51
 11574/M_2 134.029 1398.07 1145.44
 11574/M_3 111.268 1398.21 1128.92
 11577/M_1 153.909 1412.9 1175.87
 11577/M_2 133.093 1398.75 1145.29
 11577/M_3 110.3 1398.59 1128.47
 11580/M_1 153.113 1414.21 1175.21
Frame Number: 11580 Latency: 0s  Markers: 3
 11580/M_2 132.667 1399.84 1145.15
 11580/M_3 109.73 1399.53 1128.24
 11583/M_1 152.643 1415.77 1175.04
 11583/M_2 132.267 1400.96 1144.77
 11583/M_3 109.718 1400.21 1128.05
 11586/M_1 152.328 1417.12 1174.99
 11586/M_2 131.986 1402.18 1145.22
 11586/M_3 109.736 1401.5 1127.86
 11589/M_1 152.211 1418.3 1174.88
 11589/M_2 131.919 1403.66 1144.89
 11589/M_3 109.48 1402.7 1127.75
 11592/M_1 152.157 1419.8 1175.38
 11592/M_2 132.141 1405.05 1144.84
 11592/M_3 109.776 1404.11 1127.98
 11595/M_1 152.005 1421.28 1175.67
 11595/M_2 132.019 1406.56 1145.81
 11595/M_3 109.688 1405.74 1128.12
 11598/M_1 151.465 1422.62 1175.95
 11598/M_2 131.304 1407.95 1145.71
 11598/M_3 109.309 1407.39 1128.31
 11601/M_1 151.005 1424.09 1176.21
 11601/M_2 130.903 1409.4 1145.93
 11601/M_3 108.753 1408.54 1128.58
 11604/M_1 150.399 1425.13 1176.63
 11604/M_2 130.621 1410.46 1146.43
 11604/M_3 108.364 1409.61 1128.86
