SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
... 2033/M_1 0 0 0
 2033/M_2 0 0 0
 2033/M_3 0 0 0
 2037/M_1 -88.0255 928.885 1752.11
 2037/M_2 -78.8424 983.175 1726.95
 2037/M_3 -76.9661 955.732 1742.49
 2041/M_1 -88.1742 928.733 1752.58
 2041/M_2 -78.7994 983.045 1727.37
 2041/M_3 -77.016 955.582 1742.8
 2045/M_1 -88.0185 928.693 1752.8
 2045/M_2 -78.7458 982.845 1727.57
 2045/M_3 -76.8808 955.535 1743.32
 2049/M_1 -87.8531 928.844 1753.18
 2049/M_2 -78.6289 983.092 1728.04
 2049/M_3 -76.7879 955.557 1743.59
 2053/M_1 -87.7394 928.949 1753.6
 2053/M_2 -78.4384 983.177 1728.31
 2053/M_3 -76.68 955.725 1743.97
 2057/M_1 -87.5517 929.028 1753.81
 2057/M_2 -78.2216 983.261 1728.55
 2057/M_3 -76.5092 955.819 1744.11
 2061/M_1 -87.2846 929.026 1754.06
 2061/M_2 -77.8839 983.121 1728.62
 2061/M_3 -76.2969 955.895 1744.44
 2065/M_1 -87.095 929.111 1754.39
 2065/M_2 -77.6695 983.193 1728.98
 2065/M_3 -76.0474 955.968 1744.82
 2069/M_1 -86.78 929.2 1754.9
 2069/M_2 -77.4806 983.361 1729.48
 2069/M_3 -75.8145 955.901 1745.03
 2073/M_1 -86.591 929.184 1755.19
 2073/M_2 -77.1625 983.282 1729.81
 2073/M_3 -75.5001 955.789 1745.37
 2077/M_1 -86.2715 929.079 1755.52
 2077/M_2 -76.88 983.206 1730.08
 2077/M_3 -75.2081 955.716 1745.87
 2081/M_1 -86.0106 929.031 1755.97
 2081/M_2 -76.6864 983.124 1730.3
 2081/M_3 -75.0519 955.708 1746.06
 2085/M_1 -85.8486 929.009 1756.17
 2085/M_2 -76.5537 983.123 1730.45
 2085/M_3 -74.9347 955.701 1746.24
 2089/M_1 -85.937 928.896 1756.18
 2089/M_2 -76.492 983.101 1730.59
 2089/M_3 -74.9001 955.679 1746.38
 2093/M_1 -85.9086 928.848 1756.23
 2093/M_2 -76.4686 983.019 1730.58
 2093/M_3 -74.9046 955.576 1746.39
 2097/M_1 -85.9046 928.866 1756.21
 2097/M_2 -76.5689 982.909 1730.38
 2097/M_3 -74.9918 955.52 1746.22
 2101/M_1 -86.0979 928.933 1755.77
 2101/M_2 -76.7438 983.014 1730.02
 2101/M_3 -75.0755 955.618 1745.87
 2105/M_1 -86.3278 929.443 1755.02
 2105/M_2 -76.9097 983.474 1729.45
 2105/M_3 -75.3086 956.069 1745.18
 2109/M_1 -86.5881 930.14 1754.13
 2109/M_2 -77.1681 984.354 1728.82
 2109/M_3 -75.4979 956.828 1744.55
 2113/M_1 -86.9155 931.151 1753.11
 2113/M_2 -77.3749 985.591 1728.16
 2113/M_3 -75.8073 958.015 1743.62
 2117/M_1 -86.9699 932.22 1752.27
 2117/M_2 -77.4868 986.664 1727.7
 2117/M_3 -75.9389 958.961 1742.91
 2121/M_1 -86.821 932.768 1751.81
 2121/M_2 -77.4524 987.422 1727.49
 2121/M_3 -75.7842 959.675 1742.62
 2125/M_1 -86.3843 932.375 1752.16
 2125/M_2 -77.1814 986.986 1727.76
 2125/M_3 -75.3743 959.242 1743.01
 2129/M_1 -85.9692 930.733 1753.12
